epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.0,0.5,0.0,0.21978021978021978,0.35411869996444634,0.22090234151913193,0.22344322344322345,0.32979575073252665,0.21813907049786044
2,2,0.0,0.5,0.0,0.23076923076923078,0.3714382041757083,0.2329931147850223,0.21978021978021978,0.3468945774639254,0.21567151865694564
3,3,0.0,0.5,0.0,0.23443223443223443,0.40609315041622224,0.23477513227513228,0.2490842490842491,0.3861046746846151,0.24315377945589964
4,4,0.0,0.5,0.0,0.2600732600732601,0.46803854499981606,0.2601036245102251,0.27472527472527475,0.45584672723037506,0.2670940170940171
5,5,1.0,0.5,1.0,0.27472527472527475,0.5400097465886939,0.27542709232096635,0.2967032967032967,0.5479152108082926,0.2902056891831943
6,6,1.0,0.5,1.0,0.28205128205128205,0.5994127527063641,0.27805997018144907,0.304029304029304,0.6143078696041291,0.29841440975322714
7,7,1.0,0.5,1.0,0.30036630036630035,0.6507460124805374,0.2951954149137248,0.32234432234432236,0.6797473242855566,0.3228968253968254
8,8,1.0,0.6666666666666666,1.0,0.31868131868131866,0.6955852244167372,0.31595162463163534,0.358974358974359,0.7239625093481433,0.36296465469248024
9,9,1.0,0.6666666666666666,1.0,0.358974358974359,0.7300317530373803,0.3615226599798829,0.42124542124542125,0.7572431252835093,0.4330994106404414
10,10,1.0,0.5,1.0,0.4249084249084249,0.7623738766903282,0.4325347814333698,0.48717948717948717,0.7937180477398948,0.49612135009331276
11,11,1.0,0.5,1.0,0.47619047619047616,0.7722718746551914,0.47433113208940886,0.5238095238095238,0.8091004940723577,0.521556880767407
12,12,1.0,0.6666666666666666,1.0,0.47985347985347987,0.7830384837005161,0.48163227762534255,0.5494505494505495,0.8207541039881324,0.5493418514783809
13,13,1.0,0.6666666666666666,1.0,0.5347985347985348,0.7941894393566026,0.52215106796839,0.6227106227106227,0.8338120808660365,0.6077737811991478
14,14,1.0,0.6666666666666666,1.0,0.5457875457875457,0.7934477178270622,0.5224489795918368,0.608058608058608,0.834427525837655,0.58547698948233
15,15,1.0,1.0,1.0,0.575091575091575,0.8044000637512719,0.5520517013964708,0.6263736263736264,0.8433588338421175,0.5962454131039232
16,16,1.0,1.0,1.0,0.575091575091575,0.8166850564566553,0.5488811884071234,0.6483516483516484,0.855396790368654,0.6200654691220729
17,17,1.0,1.0,1.0,0.6007326007326007,0.8327595718856889,0.5758681333576767,0.673992673992674,0.8750236002304854,0.6486045080431034
18,18,1.0,1.0,1.0,0.6373626373626373,0.8466720610050632,0.6217158438017334,0.717948717948718,0.8924687680066693,0.6956403111575525
19,19,1.0,1.0,1.0,0.6703296703296703,0.8585506393516985,0.6587541543950972,0.7435897435897436,0.9017629678669069,0.7235902908475276
20,20,1.0,1.0,1.0,0.6813186813186813,0.8632970441477559,0.6693651411423099,0.7655677655677655,0.9040623046084812,0.7460443599777248
