epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.5,0.5084635416666666,0.4965626161278336,0.46987951807228917,0.9211411569902136,0.4777379828352157,0.4365079365079365,0.9031093282674943,0.44926462694578634
2,2,0.8333333333333334,0.7369791666666666,0.8309897987317343,0.8634538152610441,0.9784034595355351,0.8515308762597478,0.8373015873015873,0.9697460295921886,0.8268048870143604
3,3,1.0,0.9947916666666666,1.0,0.9036144578313253,0.9862330003839439,0.8913744630806426,0.9047619047619048,0.9809547636412979,0.8956984462827929
4,3,1.0,1.0,1.0,0.8955823293172691,0.9847655743882159,0.8888991769547325,0.876984126984127,0.9788088493874066,0.8731722266001226
5,3,1.0,1.0,1.0,0.8995983935742972,0.985200928597155,0.8900037156694901,0.8888888888888888,0.979730707690916,0.8829836988299206
6,3,1.0,1.0,1.0,0.8995983935742972,0.98546184395241,0.8900037156694901,0.8968253968253969,0.9799806073352896,0.8894775729898755
7,7,1.0,1.0,1.0,0.9036144578313253,0.9857917027728348,0.8932646501165485,0.8968253968253969,0.9803633721752011,0.8894775729898755
8,8,1.0,1.0,1.0,0.9036144578313253,0.9859866463640049,0.8932646501165485,0.8968253968253969,0.9804083201881597,0.8894775729898755
9,9,1.0,1.0,1.0,0.9076305220883534,0.9860760945666606,0.8986456542012098,0.9007936507936508,0.9807295995386468,0.8927117716815441
10,10,1.0,1.0,1.0,0.9076305220883534,0.9861215615932597,0.8986456542012098,0.9007936507936508,0.9807715792865986,0.8927117716815441
11,10,1.0,1.0,1.0,0.9076305220883534,0.9860995710052314,0.8986456542012098,0.8968253968253969,0.9808487541767729,0.8895953083087585
12,12,1.0,1.0,1.0,0.9076305220883534,0.9861655427693163,0.8986456542012098,0.8968253968253969,0.9807755369732742,0.8895953083087585
13,13,1.0,1.0,1.0,0.9076305220883534,0.986209523945373,0.8986456542012098,0.8968253968253969,0.9808937021897316,0.8895953083087585
14,14,1.0,1.0,1.0,0.9076305220883534,0.9862520192708871,0.8986456542012098,0.9007936507936508,0.9809259290669471,0.8928187580030108
15,14,1.0,1.0,1.0,0.9076305220883534,0.9862520192708871,0.8986456542012098,0.9007936507936508,0.9809474136517574,0.8928187580030108
16,14,1.0,1.0,1.0,0.9076305220883534,0.986209523945373,0.8986456542012098,0.9007936507936508,0.9809493924950953,0.8928187580030108
17,14,1.0,1.0,1.0,0.9076305220883534,0.986209523945373,0.8986456542012098,0.9007936507936508,0.9809708770799057,0.8928187580030108
18,14,1.0,1.0,1.0,0.9076305220883534,0.986209523945373,0.8986456542012098,0.9007936507936508,0.980981619372311,0.8928187580030108
19,14,1.0,1.0,1.0,0.9076305220883534,0.986209523945373,0.8986456542012098,0.9007936507936508,0.980981619372311,0.8928187580030108
20,14,1.0,1.0,1.0,0.9076305220883534,0.986209523945373,0.8986456542012098,0.9007936507936508,0.980981619372311,0.8928187580030108
