epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.7083333333333334,0.5078125,0.7090225563909774,0.8433734939759037,0.9480754669433914,0.8158549441281889,0.8492063492063492,0.9651975168343029,0.8204271852922956
2,2,0.9375,0.7623697916666666,0.9358083881410453,0.9196787148594378,0.9806949382421081,0.9044212897670206,0.9404761904761905,0.9936060744836633,0.9421599283866141
3,2,0.9791666666666666,0.978515625,0.9791463017269469,0.8473895582329317,0.9630118309363592,0.8263291772001081,0.8253968253968254,0.9825505594472808,0.8076840196490899
4,2,0.9791666666666666,0.9947916666666666,0.9791463017269469,0.9076305220883534,0.9843489418961117,0.9003973269443274,0.9206349206349206,0.9893976400879737,0.9064621148831676
5,5,1.0,1.0,1.0,0.9236947791164659,0.9830087047068178,0.9150577988711057,0.9365079365079365,0.9925417394598323,0.93883862346292
6,6,1.0,1.0,1.0,0.927710843373494,0.9837299365601252,0.9190067236740703,0.9365079365079365,0.9924987702902116,0.9361873609789363
7,7,1.0,1.0,1.0,0.9317269076305221,0.9839718330284368,0.9221474566434639,0.9365079365079365,0.9922859032854453,0.9361873609789363
8,8,1.0,1.0,1.0,0.9317269076305221,0.98405979538055,0.9221474566434639,0.9365079365079365,0.9922429341158244,0.93883862346292
9,9,1.0,1.0,1.0,0.9357429718875502,0.9843676636129466,0.9275728693977316,0.9365079365079365,0.9920945208654895,0.93883862346292
10,10,1.0,1.0,1.0,0.9397590361445783,0.9845655789052016,0.9306971849390867,0.9365079365079365,0.9920730362806792,0.93883862346292
11,11,1.0,1.0,1.0,0.9397590361445783,0.9846535412573149,0.9306971849390867,0.9365079365079365,0.9920730362806792,0.93883862346292
12,12,1.0,1.0,1.0,0.9397590361445783,0.9846975224333715,0.9306971849390867,0.9365079365079365,0.9920730362806792,0.93883862346292
13,12,1.0,1.0,1.0,0.9397590361445783,0.9846960365828291,0.9306971849390867,0.9365079365079365,0.9920730362806792,0.93883862346292
14,14,1.0,1.0,1.0,0.9397590361445783,0.9847400177588858,0.9306971849390867,0.9365079365079365,0.992073036280679,0.93883862346292
15,15,1.0,1.0,1.0,0.9397590361445783,0.9848499706990271,0.9306971849390867,0.9365079365079365,0.9920515516958689,0.93883862346292
16,16,1.0,1.0,1.0,0.9397590361445783,0.9848939518750838,0.9306971849390867,0.9365079365079365,0.9920300671110583,0.93883862346292
17,16,1.0,1.0,1.0,0.9397590361445783,0.9848939518750838,0.9306971849390867,0.9365079365079365,0.9920300671110583,0.93883862346292
18,16,1.0,1.0,1.0,0.9397590361445783,0.9848939518750838,0.9306971849390867,0.9365079365079365,0.9920300671110583,0.93883862346292
19,16,1.0,1.0,1.0,0.9397590361445783,0.9848939518750838,0.9306971849390867,0.9365079365079365,0.9920300671110583,0.93883862346292
20,16,1.0,1.0,1.0,0.9397590361445783,0.9848939518750838,0.9306971849390867,0.9365079365079365,0.9920300671110583,0.93883862346292
