epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.7957957957957958,0.8653880644313041,0.7570353416144132,0.8981481481481481,0.9856261022927689,0.8976697332762802,0.9351851851851852,0.9799235743680188,0.9426200636726954
2,2,0.9279279279279279,0.9767516446074631,0.9207620737471484,0.9351851851851852,0.9935038212815991,0.931930681930682,0.9351851851851852,0.9911522633744857,0.9376580265872461
3,2,0.9459459459459459,0.9746861929388074,0.9363610281878988,0.8425925925925926,0.975896531452087,0.8445426685525694,0.8333333333333334,0.9702233980011757,0.7989086264948334
4,2,0.978978978978979,0.9653763774360081,0.9760590338882155,0.9259259259259259,0.9884479717813051,0.9199627857522593,0.9259259259259259,0.9878600823045267,0.929571952375067
5,2,0.96996996996997,0.9793250310716749,0.9655479277904907,0.9074074074074074,0.9878012933568489,0.9096479938585201,0.9259259259259259,0.9858024691358024,0.935171216272593
6,2,0.96996996996997,0.9825194015359409,0.97237799822254,0.9166666666666666,0.9869782480893593,0.9063959011485249,0.9259259259259259,0.9889476778365668,0.9169681162304236
7,7,0.990990990990991,0.9890976066382132,0.9873808826877419,0.9444444444444444,0.9897413286302176,0.9449840339132534,0.9351851851851852,0.9883009994121106,0.9370150783194262
8,7,0.9819819819819819,0.9956605287466372,0.974887507952024,0.9259259259259259,0.9902410346854791,0.9246275532847176,0.9444444444444444,0.9851851851851853,0.9444032464054711
9,7,0.996996996996997,0.9984979963545566,0.9957936275625806,0.9259259259259259,0.9893885949441504,0.9246046746046747,0.9444444444444444,0.9874485596707819,0.9444032464054711
10,7,0.996996996996997,0.9989218746839454,0.9957936275625806,0.9259259259259259,0.989212228101117,0.9246046746046747,0.9444444444444444,0.9876837154614933,0.9444032464054711
11,7,1.0,0.9988557982105412,1.0,0.9259259259259259,0.9885361552028219,0.9246046746046747,0.9259259259259259,0.9880952380952381,0.9166459383076657
12,7,1.0,0.9990753788721601,1.0,0.9259259259259259,0.9897119341563786,0.9246046746046747,0.9444444444444444,0.9889476778365668,0.9444032464054711
13,7,1.0,0.9993145127759085,1.0,0.9259259259259259,0.9890652557319225,0.9246046746046747,0.9259259259259259,0.9891534391534392,0.9166459383076657
14,7,1.0,0.9996248924009808,1.0,0.9259259259259259,0.9888300999412111,0.9246046746046747,0.9259259259259259,0.9890358612580835,0.9221461931139351
15,7,1.0,0.999708499367329,1.0,0.9259259259259259,0.9887419165196943,0.9246046746046747,0.9259259259259259,0.9892710170487948,0.9166459383076657
16,7,1.0,0.9997644620948041,1.0,0.9259259259259259,0.988506760728983,0.9246046746046747,0.9259259259259259,0.9893298059964727,0.9221461931139351
17,7,1.0,0.9998109853260785,1.0,0.9259259259259259,0.988506760728983,0.9246046746046747,0.9259259259259259,0.9894473838918284,0.9166459383076657
18,7,1.0,0.9998109853260785,1.0,0.9259259259259259,0.988506760728983,0.9246046746046747,0.9259259259259259,0.9895061728395061,0.9166459383076657
19,7,1.0,0.9998109853260785,1.0,0.9259259259259259,0.9883891828336274,0.9246046746046747,0.9259259259259259,0.9896237507348619,0.9166459383076657
20,7,1.0,0.9998109853260785,1.0,0.9259259259259259,0.9883891828336274,0.9246046746046747,0.9259259259259259,0.9896237507348619,0.9166459383076657
