epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.5,0.5,0.404040404040404,0.4681647940074906,0.6656241069195871,0.434639521351497,0.4777777777777778,0.665482967889822,0.44957046031896614
2,2,0.6666666666666666,0.5,0.5387205387205387,0.5617977528089888,0.8478409781016681,0.5084028525164609,0.5666666666666667,0.8517696979945443,0.49793758099311064
3,3,0.8333333333333334,0.53125,0.8222222222222223,0.6292134831460674,0.898213615903976,0.6057629722746002,0.6296296296296297,0.9086828917094968,0.6033509008504617
4,3,0.75,0.53125,0.6962962962962963,0.5805243445692884,0.8669019933554818,0.5208660828462386,0.5888888888888889,0.8801372612319008,0.5198461882405544
5,3,0.6666666666666666,0.6041666666666666,0.6257575757575758,0.6142322097378277,0.9036326045797164,0.5733403758762312,0.6333333333333333,0.9156437408297506,0.5887342841573466
6,6,0.75,0.7916666666666666,0.7388888888888889,0.6928838951310862,0.9519464687600472,0.6738283287837428,0.725925925925926,0.9550717564005993,0.7090069140130489
7,7,0.9166666666666666,0.9270833333333334,0.9153439153439153,0.8801498127340824,0.9578497302897153,0.8733877233877233,0.8629629629629629,0.9575147364519441,0.8746156130333836
8,7,0.9166666666666666,0.9583333333333334,0.9153439153439153,0.7153558052434457,0.9535881738291717,0.7181766325890276,0.7888888888888889,0.9664332576654316,0.7998358242618268
9,7,0.9166666666666666,0.9791666666666666,0.9153439153439153,0.7602996254681648,0.9559706891008467,0.7661961851749904,0.7814814814814814,0.9627570445449934,0.7970263913568761
10,10,1.0,0.96875,1.0,0.8913857677902621,0.976543689493802,0.883194965909706,0.9,0.9788117064905295,0.9068095139033354
11,10,1.0,0.9791666666666666,1.0,0.8689138576779026,0.9702242524916943,0.8478740290442418,0.8740740740740741,0.9780565220436142,0.8691919191919192
12,10,1.0,1.0,1.0,0.8576779026217228,0.9668341192440968,0.8270614247065424,0.8296296296296296,0.9741117134936536,0.7893180754289367
13,10,1.0,1.0,1.0,0.8576779026217228,0.9651046690243991,0.8270614247065424,0.8296296296296296,0.9723231412256834,0.7893180754289367
14,10,1.0,1.0,1.0,0.8576779026217228,0.9644667863394419,0.8270614247065424,0.8296296296296296,0.9720829426102523,0.7893180754289367
15,10,1.0,1.0,1.0,0.8576779026217228,0.9643475601043118,0.8270614247065424,0.8296296296296296,0.9719219561604433,0.7893180754289367
16,10,1.0,1.0,1.0,0.8576779026217228,0.9643591701496802,0.8270614247065424,0.8296296296296296,0.9719595338993908,0.7893180754289367
17,10,1.0,1.0,1.0,0.8576779026217228,0.9643975726074375,0.8270614247065424,0.8296296296296296,0.9719823794565917,0.7893180754289367
18,10,1.0,1.0,1.0,0.8576779026217228,0.9643975726074375,0.8270614247065424,0.8296296296296296,0.9719488584053716,0.7893180754289367
19,10,1.0,1.0,1.0,0.8576779026217228,0.9644513807023184,0.8270614247065424,0.8296296296296296,0.9719676472748454,0.7893180754289367
20,10,1.0,1.0,1.0,0.8576779026217228,0.9644513807023184,0.8270614247065424,0.8296296296296296,0.9719676472748454,0.7893180754289367
