flod,test_acc,test_auc,test_f1_score
0,0.9296296296296296,0.98770951724562,0.9155071448048685
1,0.9111111111111111,0.9822423832485271,0.8988421920832481
2,0.8703703703703703,0.9735416421130304,0.8497399392586417
3,0.9,0.9788117064905295,0.9068095139033354
4,0.9296296296296296,0.9837405820791764,0.9246930469000691
