epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.6041666666666666,0.5091145833333334,0.5895061728395062,0.7751004016064257,0.9450740488476338,0.750899147342662,0.8055555555555556,0.9483680196301258,0.7929714191465799
2,2,0.8333333333333334,0.83203125,0.8361965970419808,0.8755020080321285,0.9804824616145371,0.8538732861787639,0.8888888888888888,0.9833115660566175,0.8932696729696863
3,3,0.9791666666666666,0.9817708333333334,0.9791463017269469,0.9036144578313253,0.9835234033347241,0.8989194975496345,0.9246031746031746,0.9875222619875502,0.9143801541363538
4,3,0.9583333333333334,0.9759114583333334,0.9583333333333334,0.8835341365461847,0.9704003713437676,0.8625345341365684,0.8849206349206349,0.977486699345851,0.8681280864433795
5,5,1.0,0.9967447916666666,1.0,0.9036144578313253,0.9821038217264633,0.8878957718780728,0.9246031746031746,0.9856983338139096,0.924204262065043
6,6,0.9583333333333334,0.9921875,0.9583333333333334,0.9116465863453815,0.9758626551079382,0.8900501857799182,0.9126984126984127,0.9870453607431404,0.8971377492459993
7,6,1.0,1.0,1.0,0.8995983935742972,0.9780162468841714,0.8787261644123876,0.9206349206349206,0.9881283534327278,0.9061779133888231
8,6,1.0,1.0,1.0,0.8995983935742972,0.9782316952128273,0.8787261644123876,0.9206349206349206,0.9882513244115767,0.9061779133888231
9,6,1.0,1.0,1.0,0.9036144578313253,0.9783856293290256,0.8836772983114448,0.9206349206349206,0.9883607261789665,0.9061779133888231
10,6,1.0,1.0,1.0,0.9036144578313253,0.9789015166373657,0.8836772983114448,0.9206349206349206,0.9883822107637771,0.9061779133888231
11,6,1.0,1.0,1.0,0.9036144578313253,0.9789674884014506,0.8836772983114448,0.9206349206349206,0.9884251799333978,0.9061779133888231
12,6,1.0,1.0,1.0,0.9036144578313253,0.9791404414045924,0.8836772983114448,0.9206349206349206,0.9884251799333977,0.9061779133888231
13,6,1.0,1.0,1.0,0.9036144578313253,0.9791844225806491,0.8836772983114448,0.9206349206349206,0.9884251799333977,0.9061779133888231
14,6,1.0,1.0,1.0,0.9036144578313253,0.9793558897332483,0.8836772983114448,0.9206349206349206,0.9884466645182082,0.9061779133888231
15,6,1.0,1.0,1.0,0.9036144578313253,0.9795478616233333,0.8836772983114448,0.9206349206349206,0.9885521085989225,0.9061779133888231
16,6,1.0,1.0,1.0,0.9036144578313253,0.9795698522113616,0.8836772983114448,0.9206349206349206,0.9885735931837328,0.9061779133888231
17,6,1.0,1.0,1.0,0.9036144578313253,0.9795698522113616,0.8836772983114448,0.9206349206349206,0.9886165623533536,0.9061779133888231
18,6,1.0,1.0,1.0,0.9036144578313253,0.9795698522113616,0.8836772983114448,0.9206349206349206,0.9885950777685433,0.9061779133888231
19,6,1.0,1.0,1.0,0.9036144578313253,0.9795698522113616,0.8836772983114448,0.9206349206349206,0.9885950777685432,0.9061779133888231
20,6,1.0,1.0,1.0,0.9036144578313253,0.9795698522113616,0.8836772983114448,0.9206349206349206,0.9885950777685433,0.9061779133888231
