epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.6041666666666666,0.5084635416666666,0.5955797101449275,0.8353413654618473,0.9495081240364259,0.813155194403247,0.8214285714285714,0.9334543254688445,0.7986970517721165
2,1,0.8958333333333334,0.8404947916666666,0.894510582010582,0.7710843373493976,0.9749871919683241,0.7679425049380072,0.7777777777777778,0.970101090625371,0.7717867239219895
3,3,0.9583333333333334,0.951171875,0.9583129683936136,0.8955823293172691,0.9859370189558869,0.8948342058944939,0.876984126984127,0.9822757829152321,0.872201822385421
4,4,1.0,0.9993489583333334,1.0,0.927710843373494,0.9889951965423665,0.9267690819199924,0.9206349206349206,0.9859589757506884,0.9167959237196058
5,5,1.0,1.0,1.0,0.9317269076305221,0.9880261248185777,0.9274455422394711,0.9206349206349206,0.985298607459674,0.9152567523476224
6,6,1.0,1.0,1.0,0.9317269076305221,0.9881800589347759,0.9274455422394711,0.9206349206349206,0.9854294938118743,0.9152567523476224
7,6,1.0,1.0,1.0,0.9317269076305221,0.9881580683467477,0.9274455422394711,0.9246031746031746,0.9857478048973546,0.918471626765479
8,8,1.0,1.0,1.0,0.9317269076305221,0.9882240401108325,0.9274455422394711,0.9246031746031746,0.9857478048973546,0.9178939787322119
9,9,1.0,1.0,1.0,0.9317269076305221,0.9882900118749176,0.9274455422394711,0.9246031746031746,0.9857712683255028,0.9178939787322119
10,10,1.0,1.0,1.0,0.9317269076305221,0.9883120024629459,0.9274455422394711,0.9246031746031746,0.9858572066647445,0.9178939787322119
11,10,1.0,1.0,1.0,0.9317269076305221,0.9882900118749176,0.9274455422394711,0.9246031746031746,0.9859001758343652,0.9178939787322119
12,10,1.0,1.0,1.0,0.9317269076305221,0.9883120024629458,0.9274455422394711,0.9246031746031746,0.9859646295887963,0.9178939787322119
13,13,1.0,1.0,1.0,0.9317269076305221,0.9883339930509742,0.9274455422394711,0.9246031746031746,0.9860505679280379,0.9178939787322119
14,13,1.0,1.0,1.0,0.9317269076305221,0.9883339930509742,0.9274455422394711,0.9246031746031746,0.9861150216824691,0.9178939787322119
15,15,1.0,1.0,1.0,0.9317269076305221,0.9883559836390026,0.9274455422394711,0.9246031746031746,0.9861150216824691,0.9178939787322119
16,15,1.0,1.0,1.0,0.9317269076305221,0.9883559836390026,0.9274455422394711,0.9246031746031746,0.9861365062672794,0.9178939787322119
17,17,1.0,1.0,1.0,0.9317269076305221,0.9883779742270309,0.9274455422394711,0.9246031746031746,0.9861365062672797,0.9178939787322119
18,18,1.0,1.0,1.0,0.9317269076305221,0.9883999648150592,0.9274455422394711,0.9246031746031746,0.9861365062672794,0.9178939787322119
19,18,1.0,1.0,1.0,0.9317269076305221,0.9883999648150592,0.9274455422394711,0.9246031746031746,0.9861365062672797,0.9178939787322119
20,18,1.0,1.0,1.0,0.9317269076305221,0.9883999648150592,0.9274455422394711,0.9246031746031746,0.9861365062672797,0.9178939787322119
