epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.6666666666666666,0.5,0.5555555555555555,0.5164835164835165,0.777630659457869,0.46117830160383355,0.46153846153846156,0.7404967695268919,0.389354892691294
2,2,0.6666666666666666,0.5,0.5555555555555555,0.5347985347985348,0.791217649294445,0.4752291190303571,0.47619047619047616,0.7637555629114715,0.39933769968721794
3,3,0.6666666666666666,0.5,0.5555555555555555,0.5347985347985348,0.8107077617173611,0.4664341360705356,0.47985347985347987,0.7946776882807999,0.40311738070358755
4,4,0.6666666666666666,0.5,0.5555555555555555,0.5677655677655677,0.8293973052827736,0.4988519221658558,0.5238095238095238,0.8258903723319481,0.4413920076714561
5,5,1.0,0.5,1.0,0.5714285714285714,0.8395558252724754,0.4978372385743321,0.5494505494505495,0.8493704561893903,0.4740078707263375
6,6,1.0,0.5,1.0,0.5824175824175825,0.8477018892444249,0.5097370709892936,0.5641025641025641,0.863291833707259,0.49397574933529526
7,7,1.0,0.5,1.0,0.5824175824175825,0.8508201846334914,0.5141395607197494,0.5824175824175825,0.8738135520492357,0.5148358585858586
8,7,1.0,0.5,1.0,0.5677655677655677,0.8461142373754091,0.4970407110448132,0.5970695970695971,0.8752485686613457,0.5391042128603104
9,7,1.0,0.5,1.0,0.5494505494505495,0.8405623597778513,0.48719678568167285,0.5787545787545788,0.8726801279929384,0.5211375564683841
10,7,1.0,0.5,1.0,0.5311355311355311,0.8362260472985398,0.47192677532310906,0.5677655677655677,0.8687201932153935,0.514159602290187
11,7,1.0,0.5,1.0,0.5421245421245421,0.8337146149790969,0.48207366902103743,0.575091575091575,0.867659715326051,0.5145879896939219
12,7,1.0,0.5,1.0,0.5201465201465202,0.8281523165005454,0.4685264586160109,0.5787545787545788,0.8640761582502727,0.5276435567835374
13,7,1.0,0.6666666666666666,1.0,0.5164835164835165,0.8277072835828214,0.48124608791949536,0.5531135531135531,0.8634545833486582,0.5170199014654938
14,7,1.0,0.8333333333333334,1.0,0.5347985347985348,0.8263182414456827,0.511270776200427,0.5494505494505495,0.8618828692976326,0.5285815298497739
15,7,1.0,0.8333333333333334,1.0,0.5494505494505495,0.8222234482082214,0.5191065473055995,0.5567765567765568,0.8584004560667916,0.5309492439927223
16,16,1.0,0.8333333333333334,1.0,0.5934065934065934,0.8281008250885774,0.5694913943571729,0.5934065934065934,0.8621470692804688,0.5651450840307665
17,17,1.0,1.0,1.0,0.608058608058608,0.8294389888067478,0.5874300817822172,0.6007326007326007,0.8608101315482978,0.5757504873294347
18,18,1.0,1.0,1.0,0.63003663003663,0.8339953657729229,0.6137701684273601,0.63003663003663,0.859083943261368,0.6107657814730277
19,19,1.0,1.0,1.0,0.673992673992674,0.8477460247403975,0.6538448476540671,0.717948717948718,0.8680992313067785,0.6956656250680234
20,20,1.0,1.0,1.0,0.6996336996336996,0.8603369009525911,0.6722235530629691,0.7509157509157509,0.8728339892358429,0.722635439423556
