epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,1.0,0.5,1.0,0.31868131868131866,0.48878100212095577,0.291841428579772,0.32234432234432236,0.5032954503659569,0.27982567487517984
2,1,1.0,0.5,1.0,0.31135531135531136,0.4968436990449569,0.28607957668285994,0.31135531135531136,0.5155868794978362,0.2704737458575497
3,3,1.0,0.5,1.0,0.3333333333333333,0.5211684872558755,0.30201934457253604,0.3516483516483517,0.547521056309537,0.3114816245341681
4,4,1.0,0.5,1.0,0.36996336996337,0.5555886571775349,0.3448957592604002,0.3882783882783883,0.5818155626662744,0.35850441707104636
5,5,1.0,0.5,1.0,0.40293040293040294,0.5958659752105632,0.38748492288079595,0.43223443223443225,0.6256776637610798,0.4091890277374149
6,6,1.0,0.5,1.0,0.4175824175824176,0.6431209925582649,0.4041550277762065,0.45054945054945056,0.6642698640381527,0.4315694890636732
7,7,1.0,0.5,1.0,0.4468864468864469,0.6833976975982935,0.43640200547559155,0.4725274725274725,0.7003494060097833,0.4659680569763503
8,7,1.0,0.6666666666666666,1.0,0.43956043956043955,0.7250965463974403,0.4382552536643205,0.47619047619047616,0.7360213076366667,0.47668757269461687
9,9,1.0,0.6666666666666666,1.0,0.4725274725274725,0.7657122365662584,0.4779175106716563,0.4908424908424908,0.7681617565927398,0.4966554524547044
10,9,1.0,0.6666666666666666,1.0,0.41025641025641024,0.7815979501514092,0.4092396629433666,0.4542124542124542,0.7921444947098705,0.4566961032077311
11,9,1.0,0.6666666666666666,1.0,0.3626373626373626,0.7967640099550063,0.35160059098744156,0.38461538461538464,0.8068649086027437,0.3801243746525847
12,9,1.0,0.6666666666666666,1.0,0.37362637362637363,0.8154351637304301,0.37742855637592476,0.4249084249084249,0.8221762477472506,0.43548123838794256
13,9,1.0,0.6666666666666666,1.0,0.3553113553113553,0.8238135520492356,0.3548332369385001,0.39194139194139194,0.8324414285188864,0.39983183731652455
14,9,1.0,0.6666666666666666,1.0,0.34065934065934067,0.8189699878627387,0.34206899773433297,0.3882783882783883,0.8302542694962424,0.3975103517514232
15,9,1.0,0.6666666666666666,1.0,0.43956043956043955,0.8299759706744149,0.44952916641016255,0.4945054945054945,0.8429217698333885,0.5023222440386466
16,9,1.0,1.0,1.0,0.4542124542124542,0.8284796547623428,0.4655847794893367,0.4835164835164835,0.8411630929174789,0.49414475270710395
17,17,1.0,1.0,1.0,0.5238095238095238,0.8392597496536589,0.5352628094253146,0.5531135531135531,0.8509752718623953,0.5571095571095571
18,18,1.0,1.0,1.0,0.6483516483516484,0.8600304044527811,0.6428686666383862,0.63003663003663,0.8664980935917712,0.6240662298009968
19,19,1.0,1.0,1.0,0.7252747252747253,0.8850656515502594,0.708187519977835,0.6959706959706959,0.8807440509029387,0.6840246543394969
20,20,1.0,1.0,1.0,0.7728937728937729,0.9036068508097638,0.7498450831784164,0.7545787545787546,0.8950911520590434,0.7369751427949377
