epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.6666666666666666,0.5,0.5555555555555555,0.32967032967032966,0.5113376120244707,0.2720051190639426,0.34798534798534797,0.5123254502433582,0.2770086565306633
2,2,0.6666666666666666,0.5,0.5555555555555555,0.34065934065934067,0.5365129280223621,0.28763052137050044,0.358974358974359,0.5395877009084556,0.29449156867548587
3,3,1.0,0.5,1.0,0.3663003663003663,0.5710109480549731,0.32057836966473513,0.3772893772893773,0.5811486262826878,0.3195162457868907
4,4,1.0,0.5,1.0,0.3663003663003663,0.6155638922603504,0.3226107226107226,0.4139194139194139,0.6342804075177461,0.3646042777966501
5,5,1.0,0.5,1.0,0.41025641025641024,0.6732336606715951,0.3715342762298138,0.45054945054945056,0.7045759927421629,0.4080272155205707
6,6,1.0,0.5,1.0,0.47985347985347987,0.7233458383905255,0.4584249030905938,0.5164835164835165,0.7601867176676841,0.49385480706344015
7,7,1.0,0.5,1.0,0.4981684981684982,0.7708344060710827,0.4887783681909797,0.5897435897435898,0.8124878933882574,0.5774204282264415
8,8,1.0,0.5,1.0,0.5897435897435898,0.81188716024863,0.5888499083874806,0.652014652014652,0.8496003285642478,0.6428315036244552
9,9,1.0,0.5,1.0,0.6263736263736264,0.8449581325781259,0.6234422208998988,0.7032967032967034,0.8777581620017899,0.6934848013279385
10,10,1.0,0.5,1.0,0.6446886446886447,0.8568894283227285,0.6427603793130927,0.6959706959706959,0.8886430786960413,0.6879281043303962
11,10,1.0,0.5,1.0,0.6190476190476191,0.8594180244461609,0.61553558630575,0.6776556776556777,0.8932068115782118,0.6712873729922566
12,10,1.0,0.5,1.0,0.6336996336996337,0.8634447754606641,0.6254594833406073,0.6996336996336996,0.8978349087253422,0.6865500545925339
13,10,1.0,0.5,1.0,0.63003663003663,0.8675640884181103,0.6248090390947534,0.7032967032967034,0.9001066607819338,0.6911733522684694
14,14,1.0,0.6666666666666666,1.0,0.6483516483516484,0.873343386418527,0.6373740141895801,0.7252747252747253,0.9079400983240772,0.7084643605870021
15,14,1.0,0.6666666666666666,1.0,0.6227106227106227,0.8698021258597226,0.610248596017097,0.706959706959707,0.904648325916118,0.6897824902485054
16,14,1.0,1.0,1.0,0.6410256410256411,0.8835472678902008,0.6290140752387039,0.717948717948718,0.9169682592224797,0.6994825708061002
17,17,1.0,1.0,1.0,0.684981684981685,0.8928181740164528,0.6691357372364272,0.7765567765567766,0.9268239606703691,0.7580143361752557
18,18,1.0,1.0,1.0,0.6959706959706959,0.8956961761496683,0.6829410691479657,0.7802197802197802,0.929179079774909,0.7631685172764985
19,19,1.0,1.0,1.0,0.73992673992674,0.9058865717753504,0.7263798866740044,0.8168498168498168,0.9352642612821361,0.7970833593376189
20,20,1.0,1.0,1.0,0.7838827838827839,0.9131719935758333,0.7651691705613294,0.8461538461538461,0.9395061728395063,0.8253859343581188
