epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.3333333333333333,0.5,0.2222222222222222,0.3992673992673993,0.532925692988586,0.35129319482722066,0.4175824175824176,0.5753417435972882,0.35989538974770685
2,2,0.6666666666666666,0.5,0.5555555555555555,0.4139194139194139,0.5603399659175893,0.3643346649339814,0.43956043956043955,0.6047175941250751,0.3872578081012155
3,3,0.6666666666666666,0.5,0.5555555555555555,0.4432234432234432,0.6117817254526953,0.3909582478502584,0.48717948717948717,0.6563640933220544,0.4416423254556323
4,4,1.0,0.5,1.0,0.4908424908424908,0.6779132492306937,0.43798471143083556,0.5091575091575091,0.719372417766989,0.46782106782106786
5,5,1.0,0.5,1.0,0.5164835164835165,0.7470429217698333,0.4605316035262275,0.5494505494505495,0.7711890225213628,0.5040554799029643
6,6,1.0,0.6666666666666666,1.0,0.5494505494505495,0.7997235401571713,0.5039998712315096,0.5824175824175825,0.811966236345581,0.5431112396856731
7,7,1.0,0.6666666666666666,1.0,0.575091575091575,0.8315102921524636,0.5325095948292705,0.6117216117216118,0.8344682898721296,0.5826796738935467
8,8,1.0,0.5,1.0,0.5787545787545788,0.8443169419005234,0.5396516097182552,0.6153846153846154,0.8398126693393161,0.5872091303125786
9,8,1.0,0.5,1.0,0.5384615384615384,0.8468081454509789,0.5191270076775513,0.5787545787545788,0.8383476160702245,0.5655310457516339
10,8,1.0,0.6666666666666666,1.0,0.5311355311355311,0.8432374612281928,0.5036410098329602,0.5677655677655677,0.8332836809003642,0.5506577863952975
11,8,1.0,0.6666666666666666,1.0,0.4908424908424908,0.8387123469049983,0.46966871430265095,0.5384615384615384,0.8292894185148406,0.5282363659433026
12,8,1.0,0.6666666666666666,1.0,0.47619047619047616,0.8358956440717448,0.4461199267299453,0.5311355311355311,0.8269122316623143,0.5160618358367152
13,8,1.0,0.6666666666666666,1.0,0.4908424908424908,0.8330384837005161,0.4569625332366449,0.5311355311355311,0.8265714075545256,0.5112341052091515
14,8,1.0,0.6666666666666666,1.0,0.46153846153846156,0.8353703090710703,0.44465638685424175,0.5164835164835165,0.8285216447828164,0.5093871426922633
15,8,1.0,0.8333333333333334,1.0,0.4981684981684982,0.8343852293206812,0.4696060726125671,0.5457875457875457,0.8293973052827738,0.5344444802513785
16,8,1.0,1.0,1.0,0.43223443223443225,0.8290865178319664,0.41670515696711097,0.4908424908424908,0.8268067968663798,0.48223910560627664
17,8,1.0,1.0,1.0,0.42124542124542125,0.8388134907499357,0.4200680272108843,0.5091575091575091,0.8350619735922615,0.512300742275699
18,8,1.0,1.0,1.0,0.5164835164835165,0.8506295438106096,0.5056803910413871,0.575091575091575,0.8497063763531821,0.5732487939277451
19,19,1.0,1.0,1.0,0.6043956043956044,0.8640087290203146,0.5877149111016194,0.6263736263736264,0.8583078941238492,0.6191681427465697
20,20,1.0,1.0,1.0,0.6959706959706959,0.8762201625657434,0.6791837577070918,0.7142857142857143,0.8657103975872595,0.6934675501189261
