flod,test_acc,test_auc,test_f1_score
0,0.9259259259259259,0.979864785420341,0.9209006679594914
1,0.9537037037037037,0.9947089947089948,0.9520660816545132
2,0.9166666666666666,0.9828630217519106,0.9161579161579162
3,0.9351851851851852,0.987419165196943,0.9374611959626061
4,0.9658119658119658,0.9980202607358732,0.9624822695035461
