epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.7993827160493827,0.8642595858645241,0.7692043351837166,0.9658119658119658,0.9981834839198838,0.9624822695035461,0.9166666666666666,0.9871546149323928,0.9113383546832333
2,1,0.9104938271604939,0.9219740022209159,0.8818720080624841,0.8888888888888888,0.9975200606558413,0.9005551947991881,0.8981481481481481,0.9798353909465022,0.8969474086131709
3,3,0.9475308641975309,0.9263799072441049,0.9471382844574104,0.9743589743589743,0.9991207009119437,0.9742600089968511,0.9074074074074074,0.984861845972957,0.903933035202385
4,4,0.9228395061728395,0.9505095042132078,0.9099570643688292,0.9743589743589743,0.9991996798719488,0.9744075369075369,0.9259259259259259,0.9889182833627278,0.9199173363134835
5,5,0.9506172839506173,0.9771343654059704,0.9447696769807602,0.9743589743589743,0.9993997599039616,0.9743409920140406,0.9351851851851852,0.987419165196943,0.9374611959626061
6,5,0.9876543209876543,0.9894049252073943,0.9847484473625473,0.8205128205128205,0.9930551167835556,0.8184355067328136,0.8148148148148148,0.9771310993533215,0.7764948600877988
7,5,0.9506172839506173,0.9830981775426221,0.9439664806068847,0.9658119658119658,0.9973410416798298,0.9620288344623935,0.9166666666666666,0.9836566725455613,0.9170827453959984
8,5,0.9845679012345679,0.9925664641714024,0.9840071597855916,0.9572649572649573,0.9981624228638823,0.9504993252361674,0.9259259259259259,0.9898295120517342,0.9300216834220382
9,5,0.9876543209876543,0.991162061532432,0.9882861523005674,0.9572649572649573,0.9986836839999157,0.9495268783635119,0.9259259259259259,0.9843033509700176,0.9246046746046747
10,5,0.9753086419753086,0.9893200078385264,0.9728102387278418,0.9743589743589743,0.9992997198879552,0.9695861678004535,0.9259259259259259,0.9898883009994122,0.9299951913382042
11,5,0.9938271604938271,0.9951825723430662,0.9932336028490094,0.9658119658119658,0.9995419220319707,0.9620288344623935,0.9166666666666666,0.9879188712522046,0.9170827453959984
12,5,1.0,0.9950258018159253,1.0,0.9743589743589743,0.997625365935848,0.9695861678004535,0.9259259259259259,0.9883891828336272,0.9299951913382042
13,5,1.0,0.9979097263047879,1.0,0.9743589743589743,0.9980255259998736,0.9695861678004535,0.9166666666666666,0.9882716049382716,0.9224628811665158
14,5,1.0,0.9980795610425238,1.0,0.9743589743589743,0.9980255259998736,0.9695861678004535,0.9074074074074074,0.9882716049382716,0.9097071565188594
15,5,1.0,0.9981840747272845,1.0,0.9743589743589743,0.9980255259998736,0.9695861678004535,0.9074074074074074,0.9885214579659024,0.9097071565188594
16,5,1.0,0.9983931020968058,1.0,0.9743589743589743,0.9980255259998736,0.9695861678004535,0.9074074074074074,0.9883009994121106,0.9097071565188594
17,5,1.0,0.9984714873603763,1.0,0.9743589743589743,0.9982045449758851,0.9695861678004535,0.9074074074074074,0.9883009994121106,0.9097071565188594
18,5,1.0,0.9985106799921614,1.0,0.9743589743589743,0.9982045449758851,0.9695861678004535,0.9074074074074074,0.9883009994121106,0.9097071565188594
19,5,1.0,0.9985237442027565,1.0,0.9743589743589743,0.9982045449758851,0.9695861678004535,0.9074074074074074,0.9883009994121106,0.9097071565188594
