flod,test_acc,test_auc,test_f1_score
0,0.9222222222222223,0.9876117297204045,0.917612592064413
1,0.8740740740740741,0.9780849188577051,0.8761633622514512
2,0.8777777777777778,0.9766855751016733,0.8727126054943826
3,0.8962962962962963,0.9815523193151287,0.8845157562433057
4,0.9222222222222223,0.9860287674672433,0.9180230856884691
