epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.16666666666666666,0.5,0.13333333333333333,0.30711610486891383,0.4640153341906905,0.2886944863415452,0.23703703703703705,0.3922779668051919,0.23091055812033176
2,1,0.4166666666666667,0.5104166666666666,0.3238095238095238,0.30337078651685395,0.6478271353552673,0.29611725330999134,0.3037037037037037,0.6419022961706576,0.288149481902551
3,3,0.5833333333333334,0.5625,0.5555555555555555,0.45692883895131087,0.8324252938234559,0.437611198325484,0.45185185185185184,0.8347536010576427,0.4243059343371735
4,3,0.75,0.5625,0.7503607503607505,0.38202247191011235,0.9002692637445074,0.38628402536712464,0.3592592592592593,0.8975983127595212,0.3578013877279205
5,3,0.75,0.6666666666666666,0.7503607503607502,0.25842696629213485,0.9061044278926874,0.23431847315197266,0.24444444444444444,0.9067988805249952,0.21416701198915353
6,6,0.8333333333333334,0.8125,0.8380952380952381,0.6591760299625468,0.956695423855964,0.64497601551337,0.7074074074074074,0.9541248400810995,0.6884625017496339
7,7,0.9166666666666666,0.8645833333333334,0.9153439153439153,0.8801498127340824,0.9815190404744043,0.8527202345673142,0.8962962962962963,0.9815523193151287,0.8845157562433057
8,7,1.0,0.9895833333333334,1.0,0.8726591760299626,0.9775751973707713,0.8474252941466056,0.8592592592592593,0.976716534034329,0.8537047493569233
9,7,1.0,1.0,1.0,0.8576779026217228,0.9765474850855571,0.847402010816645,0.8518518518518519,0.9801659996618003,0.8594834325420572
10,7,1.0,1.0,1.0,0.8651685393258427,0.9768205444218196,0.8571327904791732,0.8518518518518519,0.9806799179438829,0.8621081349206349
11,7,1.0,1.0,1.0,0.8726591760299626,0.9767859375558176,0.8628077480675339,0.8518518518518519,0.9808906521958211,0.8622795912887127
12,7,1.0,1.0,1.0,0.8764044943820225,0.9767973243310828,0.8657531576485265,0.8555555555555555,0.9806707370190263,0.8628194868912215
13,7,1.0,1.0,1.0,0.8726591760299626,0.976370655163791,0.8595936603039718,0.8555555555555555,0.9805889627348395,0.8628194868912215
14,7,1.0,1.0,1.0,0.8689138576779026,0.9764858625370629,0.8498272296471328,0.8555555555555555,0.9805071884506528,0.8628194868912215
15,7,1.0,1.0,1.0,0.8689138576779026,0.9765280605865753,0.8498272296471328,0.8555555555555555,0.9804736673994325,0.8628194868912215
16,7,1.0,1.0,1.0,0.8689138576779026,0.9764704568999392,0.8498272296471328,0.8555555555555555,0.9803502586885711,0.8628194868912215
17,7,1.0,1.0,1.0,0.8689138576779026,0.9764896581288177,0.8498272296471328,0.8555555555555555,0.9803126809496235,0.8628194868912215
18,7,1.0,1.0,1.0,0.8689138576779026,0.9764358500339371,0.8498272296471328,0.8555555555555555,0.9803126809496238,0.8628194868912215
19,7,1.0,1.0,1.0,0.8689138576779026,0.976435850033937,0.8520627524545771,0.8555555555555555,0.9802938920801498,0.8628194868912215
20,7,1.0,1.0,1.0,0.8689138576779026,0.976435850033937,0.8520627524545771,0.8555555555555555,0.9802938920801498,0.8628194868912215
