epoch,final_epoch,train_acc,train_auc,train_f1_score,valid_acc,valid_auc,valid_f1_score,test_acc,test_auc,test_f1_score
1,1,0.4166666666666667,0.5,0.3162393162393162,0.5430711610486891,0.6786305951487872,0.47519772828864576,0.5222222222222223,0.6926296816311472,0.42598671995254556
2,2,0.5833333333333334,0.5104166666666666,0.546031746031746,0.6367041198501873,0.8202695763226521,0.5972834939463324,0.6,0.8354825237892709,0.5470761953598376
3,2,0.8333333333333334,0.5104166666666666,0.8148148148148148,0.602996254681648,0.909796645589969,0.5465629322348956,0.5925925925925926,0.9174019946947064,0.550447313572521
4,2,0.75,0.5729166666666666,0.6962962962962963,0.5692883895131086,0.9027297002822134,0.48314505892693543,0.5666666666666667,0.9101791689512223,0.4881850175967823
5,2,0.6666666666666666,0.5625,0.6412698412698412,0.5655430711610487,0.9241453220447969,0.48608207510646534,0.5407407407407407,0.9281840301441789,0.4540997256995603
6,2,0.75,0.6979166666666666,0.7503607503607502,0.6179775280898876,0.9517131515021613,0.5597118957691264,0.5851851851851851,0.9522060267860954,0.5145703516940013
7,7,0.9166666666666666,0.9270833333333334,0.9153439153439153,0.8052434456928839,0.9640095291680062,0.7958945989964463,0.8333333333333334,0.9713589306058728,0.8353443941679236
8,8,1.0,0.96875,1.0,0.9176029962546817,0.9738798538920445,0.9058285149264397,0.9,0.9820083764196271,0.8945795523290987
9,9,1.0,1.0,1.0,0.9288389513108615,0.9785348122744972,0.9233088759694263,0.9222222222222223,0.9860287674672433,0.9180230856884691
10,9,1.0,1.0,1.0,0.8389513108614233,0.9702097399349837,0.8242592893755685,0.8444444444444444,0.9733445724934366,0.8440054919737189
11,9,1.0,1.0,1.0,0.8876404494382022,0.9663219376272639,0.8835582599118069,0.9,0.9791334658802672,0.8954111186338674
12,9,1.0,1.0,1.0,0.8913857677902621,0.9656771335691064,0.8865368266113426,0.8962962962962963,0.9777202439820104,0.8924119241192412
13,9,1.0,1.0,1.0,0.8838951310861424,0.9707768459972136,0.8690759604001612,0.9074074074074074,0.9788441599923479,0.90146823255296
14,9,1.0,1.0,1.0,0.8876404494382022,0.9719914353588397,0.8720495387162054,0.9148148148148149,0.9794129503136887,0.9081452569824663
15,9,1.0,1.0,1.0,0.8876404494382022,0.9721990765548529,0.8720495387162054,0.9148148148148149,0.9796115145024452,0.9062082834902307
16,9,1.0,1.0,1.0,0.8876404494382022,0.9723104883363698,0.8720495387162054,0.9148148148148149,0.9798060220034742,0.9062082834902307
17,9,1.0,1.0,1.0,0.8838951310861424,0.9724219001178865,0.8691093250916478,0.9148148148148149,0.9799146985325894,0.9062082834902307
18,9,1.0,1.0,1.0,0.8838951310861424,0.9723834976601293,0.8691093250916478,0.9148148148148149,0.9799710651410104,0.9062082834902307
19,9,1.0,1.0,1.0,0.8838951310861424,0.9724026988890081,0.8691093250916478,0.9148148148148149,0.9800274317494316,0.9062082834902307
20,9,1.0,1.0,1.0,0.8838951310861424,0.9724026988890081,0.8691093250916478,0.9148148148148149,0.9800274317494316,0.9062082834902307
